"MCIW: VALUE OF RETAIL SALES BY COMMODITY AT CURRENT PRICES, NON-SEASONALLY ADJUSTED - Average Weekly Retail Sales in £thousands, Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Retails Sales Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates in this table have been produced by combining a breakdown of commodity sales from 54 large retailers with total sales from other retailers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The monthly periods consist of 4 weeks except for March, June, September and December which are 5 weeks. January 2014 and January 2020 are also 5 week periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Weeks,Time Period,Total excluding fuel,"Food, drink and tobacco [Note 1]",Clothing and footwear,Household goods [Note 1],Other non-food [Note 1],Total Average Weekly Sales for All Retailing excluding automotive fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agg/SIC,Agg 21X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013JAN,"5,405,501","2,389,156","874,065","1,065,187","1,077,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013FEB,"5,565,134","2,501,341","848,571","1,020,602","1,194,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013MAR,"5,776,346","2,624,158","921,544","1,000,942","1,229,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013APR,"5,720,400","2,508,515","948,835","1,008,757","1,254,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013MAY,"5,985,378","2,649,445","1,003,883","1,029,922","1,302,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013JUN,"6,064,413","2,659,127","1,061,585","1,013,201","1,330,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013JUL,"6,138,411","2,724,107","1,058,846","1,024,543","1,330,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013AUG,"5,911,191","2,616,606","1,006,786","1,012,757","1,275,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013SEP,"6,011,277","2,569,227","1,062,746","1,065,784","1,313,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013OCT,"6,209,139","2,611,425","1,091,840","1,132,662","1,373,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013NOV,"6,806,739","2,711,434","1,215,632","1,281,453","1,598,220",TOTAL SALES IN 2013 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013DEC,"8,165,397","3,047,959","1,555,388","1,498,024","2,064,026","73,759,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014JAN,"5,680,105","2,468,669","878,047","1,150,376","1,183,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014FEB,"5,789,386","2,587,818","861,647","1,082,693","1,257,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014MAR,"5,969,912","2,510,868","968,259","1,050,881","1,439,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014APR,"6,238,398","2,649,825","1,058,790","1,118,148","1,411,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014MAY,"6,232,753","2,594,272","1,084,452","1,100,026","1,454,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014JUN,"6,316,993","2,609,377","1,122,887","1,086,273","1,498,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014JUL,"6,318,264","2,595,094","1,107,227","1,109,461","1,506,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014AUG,"6,141,768","2,518,070","1,098,329","1,134,456","1,390,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014SEP,"6,121,849","2,496,835","1,039,142","1,173,287","1,412,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014OCT,"6,474,839","2,555,868","1,128,129","1,281,552","1,509,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014NOV,"7,226,844","2,651,842","1,300,779","1,492,019","1,782,205",TOTAL SALES IN 2014 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014DEC,"8,318,198","2,911,051","1,593,467","1,560,966","2,252,713","76,829,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015JAN,"5,861,511","2,409,125","945,876","1,240,038","1,266,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015FEB,"5,919,205","2,518,181","922,213","1,138,219","1,340,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015MAR,"6,219,269","2,604,998","1,013,985","1,175,178","1,425,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015APR,"6,223,628","2,509,329","1,109,860","1,162,343","1,442,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015MAY,"6,369,552","2,625,641","1,124,324","1,143,720","1,475,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015JUN,"6,422,694","2,619,449","1,187,827","1,144,205","1,471,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015JUL,"6,442,411","2,577,751","1,165,604","1,202,889","1,496,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015AUG,"6,188,981","2,490,911","1,122,588","1,151,998","1,423,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015SEP,"6,323,201","2,540,394","1,135,332","1,226,763","1,420,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015OCT,"6,538,689","2,533,633","1,177,164","1,297,238","1,530,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015NOV,"7,331,868","2,651,122","1,368,311","1,535,742","1,776,693",TOTAL SALES IN 2015 £000s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015DEC,"8,223,265","2,944,546","1,549,434","1,554,603","2,174,683","78,064,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016JAN,"6,003,644","2,423,087","973,882","1,306,677","1,299,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
