index,value
1979 Jan,21.12
1979 Feb,22.92
1979 Mar,25.9
1979 Apr,24.38
1979 May,23.41
1979 Jun,26.82
1979 Jul,26.9
1979 Aug,28.72
1979 Sep,22.87
1979 Oct,23.1
1979 Nov,23.11
1979 Dec,22.14
1980 Jan,21.35
1980 Feb,22.23
1980 Mar,24.4
1980 Apr,23.41
1980 May,22.06
1980 Jun,24.53
1980 Jul,24
1980 Aug,24.97
1980 Sep,20.57
1980 Oct,21.55
1980 Nov,20.14
1980 Dec,21.39
1981 Jan,20.24
1981 Feb,20.63
1981 Mar,22.03
1981 Apr,22.68
1981 May,22.8
1981 Jun,23.78
1981 Jul,24.16
1981 Aug,22.64
1981 Sep,20.5
1981 Oct,21.44
1981 Nov,20.91
1981 Dec,21.7
1982 Jan,20.52
1982 Feb,21.66
1982 Mar,23.82
1982 Apr,24.01
1982 May,22.52
1982 Jun,24.68
1982 Jul,24.19
1982 Aug,24.73
1982 Sep,20.85
1982 Oct,21.84
1982 Nov,21.7
1982 Dec,22.38
1983 Jan,21.83
1983 Feb,23.44
1983 Mar,26.98
1983 Apr,24.61
1983 May,24.1
1983 Jun,26.67
1983 Jul,25.63
1983 Aug,26.4
1983 Sep,23.17
1983 Oct,24.24
1983 Nov,23.88
1983 Dec,23.96
1984 Jan,22.6
1984 Feb,23.67
1984 Mar,27
1984 Apr,26.91
1984 May,26.63
1984 Jun,28.93
1984 Jul,27.72
1984 Aug,29.79
1984 Sep,25.61
1984 Oct,26.81
1984 Nov,26.97
1984 Dec,26.3
1985 Jan,25.35
1985 Feb,26.91
1985 Mar,31.6
1985 Apr,31.09
1985 May,30.7
1985 Jun,32.09
1985 Jul,32.02
1985 Aug,33.16
1985 Sep,26.82
1985 Oct,28.68
1985 Nov,27.8
1985 Dec,30.46
1986 Jan,28.07
1986 Feb,30.01
1986 Mar,34.12
1986 Apr,32.9
1986 May,32.92
1986 Jun,34.86
1986 Jul,35.67
1986 Aug,37.81
1986 Sep,30.65
1986 Oct,31.96
1986 Nov,31.01
1986 Dec,32.3
1987 Jan,28.72
1987 Feb,33.39
1987 Mar,37.76
1987 Apr,37.51
1987 May,35.87
1987 Jun,36.86
1987 Jul,37.71
1987 Aug,38.41
1987 Sep,31.65
1987 Oct,32.87
1987 Nov,32.23
1987 Dec,31.88
1988 Jan,29.64
1988 Feb,32.87
1988 Mar,37.12
1988 Apr,35.32
1988 May,34.82
1988 Jun,36.97
1988 Jul,36.89
1988 Aug,38.76
1988 Sep,32.99
1988 Oct,34.59
1988 Nov,34.28
1988 Dec,32.56
1989 Jan,30.52
1989 Feb,32.37
1989 Mar,35.62
1989 Apr,33.81
1989 May,33.86
1989 Jun,37.91
1989 Jul,37.03
1989 Aug,39.38
1989 Sep,32.68
1989 Oct,34.72
1989 Nov,34.52
1989 Dec,32.91
1990 Jan,31.06
1990 Feb,33.95
1990 Mar,37.11
1990 Apr,36
1990 May,34.66
1990 Jun,37.88
1990 Jul,37.5
1990 Aug,39.98
1990 Sep,33.08
1990 Oct,34.73
1990 Nov,34.11
1990 Dec,32.73
