index,value
1960 Jan,255.2
1960 Feb,259.7
1960 Mar,249.3
1960 Apr,258
1960 May,244.3
1960 Jun,246.8
1960 Jul,250.6
1960 Aug,241.3
1960 Sep,231
1960 Oct,218.7
1960 Nov,222.8
1960 Dec,227.5
1961 Jan,216.6
1961 Feb,220.1
1961 Mar,221.7
1961 Apr,225.6
1961 May,238.6
1961 Jun,232.8
1961 Jul,226.1
1961 Aug,227.2
1961 Sep,225.8
1961 Oct,225
1961 Nov,225.7
1961 Dec,226.3
1962 Jan,226.8
1962 Feb,231.3
1962 Mar,231.1
1962 Apr,230.6
1962 May,230.5
1962 Jun,230.4
1962 Jul,230.4
1962 Aug,230.4
1962 Sep,230.4
1962 Oct,230.6
1962 Nov,230.4
1962 Dec,230.5
1963 Jan,230.6
1963 Feb,230.6
1963 Mar,230.6
1963 Apr,230.6
1963 May,230.6
1963 Jun,230.6
1963 Jul,230.6
1963 Aug,230.6
1963 Sep,230.6
1963 Oct,230.6
1963 Nov,230.6
1963 Dec,232.2
1964 Jan,234.2
1964 Feb,247.8
1964 Mar,266.1
1964 Apr,307.7
1964 May,295.8
1964 Jun,288.8
1964 Jul,305.4
1964 Aug,356.9
1964 Sep,415
1964 Oct,485.1
1964 Nov,500.1
1964 Dec,453.3
1965 Jan,356.7
1965 Feb,419.2
1965 Mar,440.6
1965 Apr,480.5
1965 May,490.8
1965 Jun,466.1
1965 Jul,404
1965 Aug,431.6
1965 Sep,473.5
1965 Oct,500.1
1965 Nov,523.8
1965 Dec,541.4
1966 Jan,599
1966 Feb,668.7
1966 Mar,668.7
1966 Apr,679.9
1966 May,592.8
1966 Jun,604.8
1966 Jul,559.5
1966 Aug,426.4
1966 Sep,402.4
1966 Oct,454.9
1966 Nov,464.4
1966 Dec,433.4
1967 Jan,443.7
1967 Feb,435.4
1967 Mar,391.8
1967 Apr,354.9
1967 May,369.5
1967 Jun,362.3
1967 Jul,355.9
1967 Aug,372.7
1967 Sep,378.3
1967 Oct,406.3
1967 Nov,515.3
1967 Dec,551.3
1968 Jan,586.4
1968 Feb,715.8
1968 Mar,708
1968 Apr,522.4
1968 May,456.5
1968 Jun,473
1968 Jul,439.9
1968 Aug,439.9
1968 Sep,462.3
1968 Oct,449.7
1968 Nov,458
1968 Dec,493.4
1969 Jan,523.8
1969 Feb,535
1969 Mar,532.4
1969 Apr,578.1
1969 May,579.6
1969 Jun,617
1969 Jul,605.4
1969 Aug,669
1969 Sep,657.6
1969 Oct,647.4
1969 Nov,679.4
1969 Dec,707.8
1970 Jan,677.2
1970 Feb,690.1
1970 Mar,730.4
1970 Apr,725.2
1970 May,665.9
1970 Jun,607
1970 Jul,567.8
1970 Aug,527.5
1970 Sep,519.3
1970 Oct,475.8
1970 Nov,451.9
1970 Dec,435.4
1971 Jan,420.7
1971 Feb,424.9
1971 Mar,476.5
1971 Apr,521.2
1971 May,464.1
1971 Jun,447.2
1971 Jul,464.4
1971 Aug,451
1971 Sep,427.5
1971 Oct,417.7
1971 Nov,406.4
1971 Dec,410.7
1972 Jan,418.9
1972 Feb,426.9
1972 Mar,442.2
1972 Apr,433.5
1972 May,423.3
1972 Jun,412.4
1972 Jul,423.2
1972 Aug,427
1972 Sep,434.2
1972 Oct,428.7
1972 Nov,427.8
1972 Dec,435.7
1973 Jan,474.7
1973 Feb,511.8
1973 Mar,610.2
1973 Apr,638.8
1973 May,613
1973 Jun,678.4
1973 Jul,795.4
1973 Aug,843.5
1973 Sep,799.6
1973 Oct,849.6
1973 Nov,950.4
1973 Dec,959.9
1974 Jan,913.2
1974 Feb,1006.5
1974 Mar,1172
1974 Apr,1267.7
1974 May,1190.6
1974 Jun,1020.1
1974 Jul,802.8
1974 Aug,767.9
1974 Sep,630.1
1974 Oct,599.2
1974 Nov,608.2
1974 Dec,553.2
1975 Jan,512.4
1975 Feb,528.7
1975 Mar,554.5
1975 Apr,560.5
1975 May,539.7
1975 Jun,522.5
1975 Jul,559.3
1975 Aug,603.7
1975 Sep,580.2
1975 Oct,573.1
1975 Nov,575.1
1975 Dec,568.9
1976 Jan,587.8
1976 Feb,601.6
1976 Mar,683.7
1976 Apr,817.9
1976 May,836
1976 Jun,878
1976 Jul,922.1
1976 Aug,862.2
1976 Sep,844.9
1976 Oct,784.8
1976 Nov,780.3
1976 Dec,767.3
1977 Jan,814.8
1977 Feb,833.4
1977 Mar,881
1977 Apr,830.4
1977 May,797.9
1977 Jun,763.1
1977 Jul,724.4
1977 Aug,665.8
1977 Sep,685.6
1977 Oct,682.9
1977 Nov,650.2
1977 Dec,679.1
1978 Jan,651.2
1978 Feb,627
1978 Mar,657.6
1978 Apr,694.4
1978 May,716
1978 Jun,725
1978 Jul,705.4
1978 Aug,734.6
1978 Sep,735.8
1978 Oct,750.1
1978 Nov,749.3
1978 Dec,771.7
1979 Jan,827.1
1979 Feb,969.7
1979 Mar,1005.5
1979 Apr,1012.3
1979 May,935.3
1979 Jun,888.8
1979 Jul,802.4
1979 Aug,883.2
1979 Sep,953.6
1979 Oct,967.6
1979 Nov,978.3
1979 Dec,1005.6
1980 Jan,1147.9
1980 Feb,1220.2
1980 Mar,1045.5
1980 Apr,937.1
1980 May,888.9
1980 Jun,858.5
1980 Jul,916.7
1980 Aug,877.9
1980 Sep,857.6
1980 Oct,846.2
1980 Nov,839.5
1980 Dec,800.4
1981 Jan,777.4
1981 Feb,784.9
1981 Mar,814.3
1981 Apr,837
1981 May,834
1981 Jun,861
1981 Jul,897.3
1981 Aug,981.4
1981 Sep,942.2
1981 Oct,904.9
1981 Nov,867.7
1981 Dec,869.3
1982 Jan,853.6
1982 Feb,863.8
1982 Mar,836.3
1982 Apr,858.5
1982 May,843.6
1982 Jun,740.4
1982 Jul,829.9
1982 Aug,841
1982 Sep,832.7
1982 Oct,861.4
1982 Nov,884.3
1982 Dec,911.4
1983 Jan,997.3
1983 Feb,1074.3
1983 Mar,1071.9
1983 Apr,1090
1983 May,1122.8
1983 Jun,1098.6
1983 Jul,1115.6
1983 Aug,1091
1983 Sep,1041
1983 Oct,958.4
1983 Nov,940.4
1983 Dec,986.7
1984 Jan,978
1984 Feb,991.5
1984 Mar,1030.9
1984 Apr,1078.1
1984 May,1022.3
1984 Jun,991.2
1984 Jul,1007.9
1984 Aug,1018.2
1984 Sep,1029.3
1984 Oct,1043.5
1984 Nov,1085.1
1984 Dec,1113.5
1985 Jan,1205.5
1985 Feb,1269.8
1985 Mar,1234.7
1985 Apr,1212.7
1985 May,1225.3
1985 Jun,1118
1985 Jul,1067.5
1985 Aug,1025.7
1985 Sep,1001.4
1985 Oct,973.8
1985 Nov,950.9
1985 Dec,962.4
1986 Jan,995.4
1986 Feb,982.8
1986 Mar,984.4
1986 Apr,957.3
1986 May,932.3
1986 Jun,937
1986 Jul,891.7
1986 Aug,876.5
1986 Sep,916.1
1986 Oct,922.9
1986 Nov,915
1986 Dec,927.6
1987 Jan,893.8
1987 Feb,902.7
1987 Mar,920.1
1987 Apr,909.3
1987 May,911.9
1987 Jun,964.6
1987 Jul,1052.8
1987 Aug,1097.5
1987 Sep,1100.7
1987 Oct,1182.7
1987 Nov,1419.9
1987 Dec,1566.6
1988 Jan,1476.8
1988 Feb,1324.3
1988 Mar,1286.3
1988 Apr,1216.5
1988 May,1307.1
1988 Jun,1428.8
1988 Jul,1297.5
1988 Aug,1296.2
1988 Sep,1445.7
1988 Oct,1689.4
1988 Nov,1826.2
1988 Dec,1915.3
1989 Jan,1912.6
1989 Feb,1765
1989 Mar,1904.1
1989 Apr,1832.3
1989 May,1679.1
1989 Jun,1638.8
1989 Jul,1539.1
1989 Aug,1731.5
1989 Sep,1834.9
1989 Oct,1801.8
1989 Nov,1647.3
1989 Dec,1514.1
1990 Jan,1432.7
1990 Feb,1390.9
1990 Mar,1615.7
1990 Apr,1639.6
1990 May,1633.7
1990 Jun,1510.5
1990 Jul,1529.6
1990 Aug,1554.4
1990 Sep,1611.6
1990 Oct,1409.6
1990 Nov,1315.9
1990 Dec,1292.7
1991 Jan,1265.1
1991 Feb,1246.5
1991 Mar,1322.5
1991 Apr,1412.3
1991 May,1336.8
1991 Jun,1344.8
1991 Jul,1353.8
1991 Aug,1325.6
1991 Sep,1346.1
1991 Oct,1371.2
1991 Nov,1336.8
1991 Dec,1216.4
1992 Jan,1182.2
1992 Feb,1240.5
1992 Mar,1291.7
1992 Apr,1260.9
1992 May,1224.6
1992 Jun,1239.1
1992 Jul,1313.8
1992 Aug,1297.2
1992 Sep,1307
