index,value
1947 Q1,1570.5
1947 Q2,1568.7
1947 Q3,1568
1947 Q4,1590.9
1948 Q1,1616.1
1948 Q2,1644.6
1948 Q3,1654.1
1948 Q4,1658
1949 Q1,1633.2
1949 Q2,1628.4
1949 Q3,1646.7
1949 Q4,1629.9
1950 Q1,1696.8
1950 Q2,1747.3
1950 Q3,1815.8
1950 Q4,1848.9
1951 Q1,1871.3
1951 Q2,1903.1
1951 Q3,1941.1
1951 Q4,1944.4
1952 Q1,1964.7
1952 Q2,1966
1952 Q3,1978.8
1952 Q4,2043.8
1953 Q1,2082.3
1953 Q2,2098.1
1953 Q3,2085.4
1953 Q4,2052.5
1954 Q1,2042.4
1954 Q2,2044.3
1954 Q3,2066.9
1954 Q4,2107.8
1955 Q1,2168.5
1955 Q2,2204
1955 Q3,2233.4
1955 Q4,2245.3
1956 Q1,2234.8
1956 Q2,2252.5
1956 Q3,2249.8
1956 Q4,2286.5
1957 Q1,2300.3
1957 Q2,2294.6
1957 Q3,2317
1957 Q4,2292.5
1958 Q1,2230.2
1958 Q2,2243.4
1958 Q3,2295.2
1958 Q4,2348
1959 Q1,2392.9
1959 Q2,2455.8
1959 Q3,2453.9
1959 Q4,2462.6
1960 Q1,2517.4
1960 Q2,2504.8
1960 Q3,2508.7
1960 Q4,2476.2
1961 Q1,2491.2
1961 Q2,2538
1961 Q3,2579.1
1961 Q4,2631.8
1962 Q1,2679.1
1962 Q2,2708.4
1962 Q3,2733.3
1962 Q4,2740
1963 Q1,2775.9
1963 Q2,2810.6
1963 Q3,2863.5
1963 Q4,2885.8
1964 Q1,2950.5
1964 Q2,2984.8
1964 Q3,3025.5
1964 Q4,3033.6
1965 Q1,3108.2
1965 Q2,3150.2
1965 Q3,3214.1
1965 Q4,3291.8
1966 Q1,3372.3
1966 Q2,3384
1966 Q3,3406.3
1966 Q4,3433.7
1967 Q1,3464.1
1967 Q2,3464.3
1967 Q3,3491.8
1967 Q4,3518.2
1968 Q1,3590.7
1968 Q2,3651.6
1968 Q3,3676.5
1968 Q4,3692
1969 Q1,3750.2
1969 Q2,3760.9
1969 Q3,3784.2
1969 Q4,3766.3
1970 Q1,3760
1970 Q2,3767.1
1970 Q3,3800.5
1970 Q4,3759.8
1971 Q1,3864.1
1971 Q2,3885.9
1971 Q3,3916.7
1971 Q4,3927.9
1972 Q1,3997.7
1972 Q2,4092.1
1972 Q3,4131.1
1972 Q4,4198.7
1973 Q1,4305.3
1973 Q2,4355.1
1973 Q3,4331.9
1973 Q4,4373.3
1974 Q1,4335.4
1974 Q2,4347.9
1974 Q3,4305.8
1974 Q4,4288.9
1975 Q1,4237.6
1975 Q2,4268.6
1975 Q3,4340.9
1975 Q4,4397.8
1976 Q1,4496.8
1976 Q2,4530.3
1976 Q3,4552
1976 Q4,4584.6
1977 Q1,4640
1977 Q2,4731.1
1977 Q3,4815.8
1977 Q4,4815.3
1978 Q1,4830.8
1978 Q2,5021.2
1978 Q3,5070.7
1978 Q4,5137.4
1979 Q1,5147.4
1979 Q2,5152.3
1979 Q3,5189.4
1979 Q4,5204.7
1980 Q1,5221.3
1980 Q2,5115.9
1980 Q3,5107.4
1980 Q4,5202.1
1981 Q1,5307.5
1981 Q2,5266.1
1981 Q3,5329.8
1981 Q4,5263.4
1982 Q1,5177.1
1982 Q2,5204.9
